source,kind,pages,replacements,leaks,output
CYBER- 2.pdf,digital,104,286,"AB-CYB-001;AB-CYB-004;AB-CYB-084;AB-CYB-085;AB-CYB-111;AB-CYB-117;AB-CYB-121;AB-CYB-122;AB-CYB-124;AB-CYB-PWE-001;GLENDALE, CA 91203",E:\SML\SLM Training documents\New Documents Redacted\AtBay\CYBER- 2_redacted.pdf
CYBER- 3.pdf,digital,104,286,"AB-CYB-001;AB-CYB-004;AB-CYB-084;AB-CYB-085;AB-CYB-111;AB-CYB-117;AB-CYB-121;AB-CYB-122;AB-CYB-124;AB-CYB-PWE-001;GLENDALE, CA 91203",E:\SML\SLM Training documents\New Documents Redacted\AtBay\CYBER- 3_redacted.pdf
CYBER-1.pdf,digital,104,286,"AB-CYB-001;AB-CYB-004;AB-CYB-084;AB-CYB-085;AB-CYB-111;AB-CYB-117;AB-CYB-121;AB-CYB-122;AB-CYB-124;AB-CYB-PWE-001;GLENDALE, CA 91203",E:\SML\SLM Training documents\New Documents Redacted\AtBay\CYBER-1_redacted.pdf
CYBER.pdf,digital,95,334,"AB-CYB-001;AB-CYB-002;AB-CYB-004;AB-CYB-050;AB-CYB-066;AB-CYB-111;GLENDALE, CA 91203;Organization;the Policy Period.",E:\SML\SLM Training documents\New Documents Redacted\AtBay\CYBER_redacted.pdf
PL-53050.pdf,digital,17,33,,E:\SML\SLM Training documents\New Documents Redacted\BENCHMARK\PL-53050_redacted.pdf
PL.pdf,digital,17,33,,E:\SML\SLM Training documents\New Documents Redacted\BENCHMARK\PL_redacted.pdf
WCP.pdf,digital,41,197,1-888-NEW-CLMS;888-NEW-CLMS;BHGIC-672-02-20;CFES052821;CLRP052721;LCOS070522;SSPSC052721;WC310308;WC310319L;WC310618A;XX-XXX0463,E:\SML\SLM Training documents\New Documents Redacted\BHGIC\WCP_redacted.pdf
AUTO.pdf,digital,10,50,268-22-38-40A;5HABL1424M094818;ACE-0114;ACE-0117;ACE-0123;ACE-0208;ACE-0417;ACE-0618;ACE-0822;ACE01-0324;ACE03-0117;ACE04-0208;ACE31-0713;CC-3R87S-0422,E:\SML\SLM Training documents\New Documents Redacted\CHUBB\AUTO_redacted.pdf
FARM.pdf,digital,48,84,,E:\SML\SLM Training documents\New Documents Redacted\CHUBB\FARM_redacted.pdf
GL.pdf,digital,42,161,Procedure;Q0700000;Q0802000;Q0903000;Q6496029;Q6499805;Q6600010;Q6600020;Q9200000;Q9300000;law.;of Insured;of insured,E:\SML\SLM Training documents\New Documents Redacted\CHUBB\GL_redacted.pdf
HOME.pdf,digital,85,228,Contents;Dwelling;HOUSE AT;Q0700000;Q0802000;Q0903000;Q4700029;Q6429005;Q6478929;Q6499805;Q6600001;Q6600010;Q6600020;Q6629126;Q9200000;Q9300000;deductible,E:\SML\SLM Training documents\New Documents Redacted\CHUBB\HOME_redacted.pdf
CUMBR.pdf,digital,12,45,CNA80333XX;CNA81753XX;CNA81758XX;CNA86483XX;DDP0000004-00;GSL-7194-XX;GSL21992XX;GSL22744XX;GSL7194XX;Limits;by or assumed by the Insurer.;the Secretary of the Treasury.,E:\SML\SLM Training documents\New Documents Redacted\CNA\CUMBR_redacted.pdf
1978-CYBER.pdf,digital,66,349,CYBER-2023;CYUSP-00DC-1022-01;CYUSP-00DC-1022-02;Extended Reporting Period.;Funds transfer liability;OF TERRORISM;Quota Share;exhausted.;or subsidiary.;or subsidiary;,E:\SML\SLM Training documents\New Documents Redacted\Coalition\1978-CYBER_redacted.pdf
253152-CYBER.pdf,digital,80,322,"CCP1098451-00;President;TERRORISM;WHEN THERE IS A CLAIM OR;procedures established by the Secretary of the Treasury.;requests for information, and execute all papers and render all assistance as;you will cooperate with us in all investigations, respond to reasonable",E:\SML\SLM Training documents\New Documents Redacted\Coalition\253152-CYBER_redacted.pdf
28ce9ce5-7504-4f34-b37c-f13b8fe58cee.pdf,digital,60,241,CYUSP-50DC-0125-01;Certified Acts of Terrorism;ERUSP-00PF-0923-C1;Funds Transfer Liability;Organization;;Organization; or;Privacy Policy;SLN0001CA;Section II. Definitions,E:\SML\SLM Training documents\New Documents Redacted\Coalition\28ce9ce5-7504-4f34-b37c-f13b8fe58cee_redacted.pdf
51984-CYBER.pdf,digital,66,349,CYBER-2023;CYUSP-00DC-1022-01;CYUSP-00DC-1022-02,E:\SML\SLM Training documents\New Documents Redacted\Coalition\51984-CYBER_redacted.pdf
76b34149-1ca9-42ba-b4f6-87b818df45f2.pdf,digital,80,322,CCP1098451-00,E:\SML\SLM Training documents\New Documents Redacted\Coalition\76b34149-1ca9-42ba-b4f6-87b818df45f2_redacted.pdf
CYBER -2.pdf,digital,71,177,CCP1053538-01,E:\SML\SLM Training documents\New Documents Redacted\Coalition\CYBER -2_redacted.pdf
CYBER-1.pdf,digital,66,349,CYBER-2023;CYUSP-00DC-1022-01;CYUSP-00DC-1022-02,E:\SML\SLM Training documents\New Documents Redacted\Coalition\CYBER-1_redacted.pdf
CYBER.pdf,digital,80,322,CCP1098451-00,E:\SML\SLM Training documents\New Documents Redacted\Coalition\CYBER_redacted.pdf
2937-00-CGL.pdf,digital,99,381,", if the ""occurrence"" which caused;B. With respect to the insurance afforded to these;CBB-;COMPANY;PREMISE;This exclusion does not apply;allege;allege negligence or;allege negligence or other wrongdoing;any premium;cancels, the refund may be;contractor;described;exercises;in connection with such;mechanical or electrical machinery and;on a replacement cost;or others test for, monitor,;or others to test for,;pressure,;shown in the Declarations;under Section I –;where;whose;will not be broader than;with respect to",E:\SML\SLM Training documents\New Documents Redacted\Coterie\2937-00-CGL_redacted.pdf
62938-00- BOP.pdf,digital,146,449,"CSB-;If you die, your rights and duties will be;Notice;at least 60 days;known",E:\SML\SLM Training documents\New Documents Redacted\Coterie\62938-00- BOP_redacted.pdf
62938-00- CGL.pdf,digital,146,449,,E:\SML\SLM Training documents\New Documents Redacted\Coterie\62938-00- CGL_redacted.pdf
BOP - 8950.pdf,digital,111,497,", injured person or any other;CSG-;against,;an incomplete or late conditional;or others to test for, monitor,;will;will not be;written;written notice of cancellation at",E:\SML\SLM Training documents\New Documents Redacted\Coterie\BOP - 8950_redacted.pdf
BOP - 9693.pdf,digital,114,491,,E:\SML\SLM Training documents\New Documents Redacted\Coterie\BOP - 9693_redacted.pdf
BOP.pdf,digital,114,491,,E:\SML\SLM Training documents\New Documents Redacted\Coterie\BOP_redacted.pdf
PL-9694.pdf,digital,32,121,,E:\SML\SLM Training documents\New Documents Redacted\Coterie\PL-9694_redacted.pdf
PL.pdf,digital,32,121,,E:\SML\SLM Training documents\New Documents Redacted\Coterie\PL_redacted.pdf
1-CFLP.pdf,digital,6,45,DMIC-DISC-2;Liability Schedule,E:\SML\SLM Training documents\New Documents Redacted\DMIC\1-CFLP_redacted.pdf
1R-CFLP.pdf,digital,14,72,TERR-DISC,E:\SML\SLM Training documents\New Documents Redacted\DMIC\1R-CFLP_redacted.pdf
2-CFLP.pdf,digital,6,47,,E:\SML\SLM Training documents\New Documents Redacted\DMIC\2-CFLP_redacted.pdf
CCPP.pdf,digital,6,38,DMIC-513;DMIC-SF-511A;Information;Liability Coverage Section;Property Coverage Section,E:\SML\SLM Training documents\New Documents Redacted\DMIC\CCPP_redacted.pdf
CFLP.pdf,digital,6,45,DMIC-DISC-2,E:\SML\SLM Training documents\New Documents Redacted\DMIC\CFLP_redacted.pdf
CGL.pdf,digital,8,53,DMIC-513;DMIC-SF-511A,E:\SML\SLM Training documents\New Documents Redacted\DMIC\CGL_redacted.pdf
DFIRE-SLP.pdf,digital,7,68,DFL-153P;FL-3;New York State Fire Surcharge,E:\SML\SLM Training documents\New Documents Redacted\DMIC\DFIRE-SLP_redacted.pdf
Property.pdf,digital,6,38,DMIC-513;DMIC-SF-511A,E:\SML\SLM Training documents\New Documents Redacted\DMIC\Property_redacted.pdf
R-CFLP.pdf,digital,14,72,,E:\SML\SLM Training documents\New Documents Redacted\DMIC\R-CFLP_redacted.pdf
AUTO.pdf,digital,114,405,2CE-827-1;800-922-FRAUD;9797 SPRINGBORO PIKE;EXCLUSIONS;Foremost;M155310805;M177310704;M180310300;M186310910;REQUIREMENTS2;Vehicle Identification Number;and Address;below.;insurance policy.;liable for the bodily injury sustained by the insured.;of the property,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\AUTO_redacted.pdf
FLOOD -2.pdf,digital,1,14,,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\FLOOD -2_redacted.pdf
FLOOD -3.pdf,digital,1,13,,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\FLOOD -3_redacted.pdf
FLOOD- 1.pdf,digital,1,14,,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\FLOOD- 1_redacted.pdf
FLOOD.pdf,digital,1,14,,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\FLOOD_redacted.pdf
RV.pdf,digital,30,86,BEING;CARD;County;INFORMATION;ONLY;Owner's;PP0409-07;PP0587-07;PP0588-07;PP1383-01;Purchase;Signature;Street;VEHICLE;YOUR;Year;above;call;issued;must;purchased;under;would,E:\SML\SLM Training documents\New Documents Redacted\FOREMOST\RV_redacted.pdf
EVENT.pdf,digital,7,13,,E:\SML\SLM Training documents\New Documents Redacted\GAIG\EVENT_redacted.pdf
PPKGE.pdf,digital,7,13,,E:\SML\SLM Training documents\New Documents Redacted\GAIG\PPKGE_redacted.pdf
TRAINE.pdf,digital,6,13,,E:\SML\SLM Training documents\New Documents Redacted\GAIG\TRAINE_redacted.pdf
8b4e9152-f104-4972-986f-e48ca641ece0.pdf,digital,105,449,'s behalf are performing;THIS ENDORSEMENT CHANGES THE POLICY. PLEASE READ IT CAREFULLY.;means of communication;or Subsidiary.;or any;or by any other person or;or others for the;this Policy.,E:\SML\SLM Training documents\New Documents Redacted\Gemini\8b4e9152-f104-4972-986f-e48ca641ece0_redacted.pdf
CGL.pdf,digital,105,449,,E:\SML\SLM Training documents\New Documents Redacted\Gemini\CGL_redacted.pdf
AUTO.pdf,digital,98,427,"'s legal representative.;, but only while acting within;is legally entitled to recover;means;motor vehicle; or;or the insured's legal;or the insured's legal representative;shall;such;under the SUM coverage.",E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\AUTO_redacted.pdf
CPKGE- 1.pdf,digital,235,571,"""controlling underlying insurance"";;ACBW5436G102;Coverages;Damages under COVERAGE C;;Occupancy;TRNY1000;The due date for audit;To any insured.;Transfer of Rights of Recovery Against Others To Us;VLNNY002;against any suit seeking damages for;and the claimant or the claimant's legal representative.;because of ‘‘injury or;becomes legally obligated to pay;cancel.;claimant,;coverage provided by this;delivering to us advance written notice of cancellation.;in the same ""insured contract"";;inaccurate information.;is not a Public Entity.;must notify us in;or the injured;period;;shown in the Declarations.;submits with our consent.;to us advance written notice of cancellation.",E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\CPKGE- 1_redacted.pdf
CPKGE.pdf,scanned,22,142,ACBW5436G102;CXEG0287;CXEG0297;CXEG0329;CXENY1101;CXENY1144;INLET;RIVERCRAFT120HP;TRNY1000,E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\CPKGE_redacted.pdf
GPMED -1.pdf,digital,48,151,AGLC100605-NTC;AGLC105774-GB-STF;Disability.;Injury or Illness.;OTHER COVERAGE WITH US;Person and;To Determine the Benefit Payable;V50004NUFIC-NY;be paid.;in a Covered Activity.;of the Policyholder.,E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\GPMED -1_redacted.pdf
GPMED -2.pdf,digital,46,160,AGLC100605-NTC;Person in excess of benefits paid or payable under any;V50004NUFIC-NY,E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\GPMED -2_redacted.pdf
GPMED.pdf,scanned,8,15,V50000NUF1C-NY,E:\SML\SLM Training documents\New Documents Redacted\Glatfelter\GPMED_redacted.pdf
1-AUTO.pdf,digital,3,21,,E:\SML\SLM Training documents\New Documents Redacted\HAGERTY\1-AUTO_redacted.pdf
AUTO.pdf,digital,3,21,,E:\SML\SLM Training documents\New Documents Redacted\HAGERTY\AUTO_redacted.pdf
AUTO.pdf,scanned,3,35,39NFMP10;Q19284935,E:\SML\SLM Training documents\New Documents Redacted\Hagerty Insurance\AUTO_redacted.pdf
AUTOP-2.pdf,digital,3,21,,E:\SML\SLM Training documents\New Documents Redacted\Hagerty Insurance\AUTOP-2_redacted.pdf
AUTOP-3.pdf,digital,2,18,BP29D62683576,E:\SML\SLM Training documents\New Documents Redacted\Hagerty Insurance\AUTOP-3_redacted.pdf
AUTOP-4.pdf,digital,4,24,0C653F112005;10122P29657,E:\SML\SLM Training documents\New Documents Redacted\Hagerty Insurance\AUTOP-4_redacted.pdf
AUTOP.pdf,digital,2,18,,E:\SML\SLM Training documents\New Documents Redacted\Hagerty Insurance\AUTOP_redacted.pdf
PD.pdf,digital,68,210,Company.;Executive; or;HFP-HEIC-PDDEC-001;HFP-HSIC-PDDO-001;HFP-HSIC-PDGTC-001;HFP-PDAPP-002;Person;Person or the Company.;Person; or,E:\SML\SLM Training documents\New Documents Redacted\HIG\PD_redacted.pdf
37628cab-c5f9-4cec-9382-673dbc3b6c8a.pdf,digital,68,210,HFP-HEIC-PDDEC-001;HFP-HSIC-PDDO-001;HFP-HSIC-PDGTC-001;HFP-PDAPP-002,E:\SML\SLM Training documents\New Documents Redacted\Hudson IG\37628cab-c5f9-4cec-9382-673dbc3b6c8a_redacted.pdf
FLOOD.pdf,scanned,1,10,,E:\SML\SLM Training documents\New Documents Redacted\IAT\FLOOD_redacted.pdf
1- DFIRE.pdf,digital,2,15,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\1- DFIRE_redacted.pdf
1-CFL.pdf,digital,4,20,SF-7-DISC,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\1-CFL_redacted.pdf
1-PROP.pdf,digital,4,19,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\1-PROP_redacted.pdf
2-CFL.pdf,digital,4,20,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\2-CFL_redacted.pdf
2-DFIRE.pdf,digital,2,15,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\2-DFIRE_redacted.pdf
2-PROP.pdf,digital,4,19,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\2-PROP_redacted.pdf
3-CFL.pdf,digital,4,18,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\3-CFL_redacted.pdf
3-DFIRE.pdf,digital,2,15,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\3-DFIRE_redacted.pdf
3-PROP.pdf,digital,4,19,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\3-PROP_redacted.pdf
4-DFIRE.pdf,digital,4,16,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\4-DFIRE_redacted.pdf
5- DFIRE.pdf,digital,2,14,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\5- DFIRE_redacted.pdf
6- DFIRE.pdf,digital,4,16,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\6- DFIRE_redacted.pdf
BOP -2.pdf,digital,4,23,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\BOP -2_redacted.pdf
BOP- 1.pdf,digital,4,21,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\BOP- 1_redacted.pdf
BOPPR.pdf,digital,4,23,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\BOPPR_redacted.pdf
CFL -1.pdf,digital,4,21,Peter Oliver;SF-7-DISC,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\CFL -1_redacted.pdf
CFL.pdf,digital,4,21,SF-7-DISC,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\CFL_redacted.pdf
DFIRE.pdf,digital,2,17,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\DFIRE_redacted.pdf
LLP -1.pdf,digital,2,18,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\LLP -1_redacted.pdf
LLP.pdf,digital,2,19,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\LLP_redacted.pdf
PROP.pdf,digital,4,17,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\PROP_redacted.pdf
R-DFIRE.pdf,digital,2,17,,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\R-DFIRE_redacted.pdf
SH.pdf,digital,4,20,SF-7-DISC,E:\SML\SLM Training documents\New Documents Redacted\Leatherstocking\SH_redacted.pdf
BOPPR- 1.pdf,digital,6,36,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\BOPPR- 1_redacted.pdf
BOPPR.pdf,digital,6,39,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\BOPPR_redacted.pdf
HOME-1.pdf,digital,4,42,Seasonal Rentals Surcharge,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-1_redacted.pdf
HOME-10.pdf,digital,4,21,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-10_redacted.pdf
HOME-11.pdf,digital,4,23,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-11_redacted.pdf
HOME-12.pdf,digital,4,19,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-12_redacted.pdf
HOME-13.pdf,digital,4,21,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-13_redacted.pdf
HOME-14.pdf,digital,4,24,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-14_redacted.pdf
HOME-15.pdf,digital,4,23,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-15_redacted.pdf
HOME-16.pdf,digital,4,19,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-16_redacted.pdf
HOME-17.pdf,digital,4,24,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-17_redacted.pdf
HOME-18.pdf,digital,4,21,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-18_redacted.pdf
HOME-2.pdf,digital,4,41,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-2_redacted.pdf
HOME-3.pdf,digital,4,34,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-3_redacted.pdf
HOME-4.pdf,digital,4,36,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-4_redacted.pdf
HOME-5.pdf,digital,4,35,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-5_redacted.pdf
HOME-6.pdf,digital,4,24,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-6_redacted.pdf
HOME-7.pdf,digital,4,35,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-7_redacted.pdf
HOME-8.pdf,digital,4,24,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-8_redacted.pdf
HOME-9.pdf,digital,4,17,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME-9_redacted.pdf
HOME.pdf,digital,4,21,,E:\SML\SLM Training documents\New Documents Redacted\Madison Mutual\HOME_redacted.pdf
HOME.pdf,scanned,69,100,HO04980511;HOP0040511;ILN1600908;MSIES00131221;MSIES00150921;MSIES00441022;MSIES00451022;MSIES00461022;MSIES00471022;MSIES00560123;MSIES03630921;MSIESDECNY1021;P0010104,E:\SML\SLM Training documents\New Documents Redacted\MILLENNIAL\HOME_redacted.pdf
HOMEOWNER.pdf,scanned,69,100,HO04980511;HOP0040511;ILN1600908;MSIES00131221;MSIES00150921;MSIES00441022;MSIES00451022;MSIES00461022;MSIES00471022;MSIES00560123;MSIES03630921;MSIESDECNY1021;P0010104,E:\SML\SLM Training documents\New Documents Redacted\MILLENNIAL\HOMEOWNER_redacted.pdf
AUTO-1.pdf,digital,90,345,,E:\SML\SLM Training documents\New Documents Redacted\MMIG\AUTO-1_redacted.pdf
AUTO.pdf,digital,94,89,4YUUF1225W0007,E:\SML\SLM Training documents\New Documents Redacted\MMIG\AUTO_redacted.pdf
CL.pdf,scanned,10,43,4YUUF1225W0007,E:\SML\SLM Training documents\New Documents Redacted\MMIG\CL_redacted.pdf
Property.pdf,digital,200,445,"DEDUCTIBLE;However,;and caused by smoke, fumes, vapor;arising out of all;computer system.;computer system;;in the Declarations.;involved.;or any contractors or;or others for the handling,;possible.",E:\SML\SLM Training documents\New Documents Redacted\MMIG\Property_redacted.pdf
CPKGE.pdf,digital,4,27,,E:\SML\SLM Training documents\New Documents Redacted\NCIC\CPKGE_redacted.pdf
AUTO -1.pdf,scanned,4,27,18NMSP62;52NMMP22;53NMMP20;FORVEHICLE3;Q20727114;XXXXX0254;XXXXX3707;XXXXX4333;XXXXX7609;XXXXX9626,E:\SML\SLM Training documents\New Documents Redacted\NYC\AUTO -1_redacted.pdf
AUTO -2.pdf,digital,4,26,41NFMP20;41NMMP20;Q32735020;XXXXX3115;XXXXX3408;XXXXX8509,E:\SML\SLM Training documents\New Documents Redacted\NYC\AUTO -2_redacted.pdf
AUTO -3.pdf,digital,3,23,38NFMP20;38NMMP20;Q22678902;XXXXX3115;XXXXX3408;XXXXX8509,E:\SML\SLM Training documents\New Documents Redacted\NYC\AUTO -3_redacted.pdf
AUTO.pdf,digital,12,90,18NMSP62;52NMMP22;53NMMP20;Form Summary;NYCPP0001;NYCPP258;NYCPP263,E:\SML\SLM Training documents\New Documents Redacted\NYC\AUTO_redacted.pdf
LIFE.pdf,digital,3,3,,E:\SML\SLM Training documents\New Documents Redacted\NYC\LIFE_redacted.pdf
WORK.pdf,digital,31,169,000793618R;APPEALV1;CEPL2V29;DTE00V10;E10002132129;NIF3SWV39;NIF512V2;SEPL1V31,E:\SML\SLM Training documents\New Documents Redacted\NYSIF\WORK_redacted.pdf
WORKS.pdf,digital,31,164,000047548R;APPEALV1;CEPL2V28;DTE00V10;E10001990960;NIF3SWV39;NIF512V2;SEPL1V30,E:\SML\SLM Training documents\New Documents Redacted\NYSIF\WORKS_redacted.pdf
